,Step_size,Iteration,Conditional guide,Guide Mode,Path,guide_scale,guide_scale_base,accurancy,count_att,count_diff
1107,150,1,True,VAR,1,600000.0,0.0,87.32,757.0,511.0
1108,160,1,True,VAR,1,600000.0,0.0,87.59,733.0,508.0
1109,170,1,True,VAR,1,600000.0,0.0,87.63,745.0,492.0
1110,180,1,True,VAR,1,600000.0,0.0,87.31,756.0,513.0
1111,190,1,True,VAR,1,600000.0,0.0,87.46,756.0,498.0
1112,200,1,True,VAR,1,600000.0,0.0,87.63,765.0,472.0
1113,200,1,True,VAR,1,600000.0,0.0,87.81,765.0,454.0
1114,210,1,True,VAR,1,600000.0,0.0,87.22,771.0,507.0
1115,220,1,True,VAR,1,600000.0,0.0,87.54,752.0,494.0
1116,230,1,True,VAR,1,600000.0,0.0,87.52,751.0,497.0
1117,240,1,True,VAR,1,600000.0,0.0,87.72,729.0,499.0
1118,250,1,True,VAR,1,600000.0,0.0,87.19,795.0,486.0
1119,260,1,True,VAR,1,600000.0,0.0,87.37,759.0,504.0
1120,270,1,True,VAR,1,600000.0,0.0,87.34,787.0,479.0
1121,280,1,True,VAR,1,600000.0,0.0,87.56,772.0,472.0
1122,290,1,True,VAR,1,600000.0,0.0,87.67,729.0,504.0
1123,300,1,True,VAR,1,600000.0,0.0,87.47,765.0,488.0
1124,310,1,True,VAR,1,600000.0,0.0,87.38,772.0,490.0
1125,320,1,True,VAR,1,600000.0,0.0,87.71,759.0,470.0
1126,330,1,True,VAR,1,600000.0,0.0,87.39,780.0,481.0
1127,340,1,True,VAR,1,600000.0,0.0,87.64,745.0,491.0
1128,350,1,True,VAR,1,600000.0,0.0,87.69,739.0,492.0
1129,360,1,True,VAR,1,600000.0,0.0,87.65,744.0,491.0
1130,370,1,True,VAR,1,600000.0,0.0,87.51,747.0,502.0
1131,380,1,True,VAR,1,600000.0,0.0,87.56,787.0,457.0
1132,390,1,True,VAR,1,600000.0,0.0,87.67,752.0,481.0
1133,400,1,True,VAR,1,600000.0,0.0,87.62,740.0,498.0
1134,410,1,True,VAR,1,600000.0,0.0,87.77,749.0,474.0
1135,420,1,True,VAR,1,600000.0,0.0,87.4,754.0,506.0
1136,430,1,True,VAR,1,600000.0,0.0,87.57,754.0,489.0
1137,440,1,True,VAR,1,600000.0,0.0,87.61,749.0,490.0
1138,450,1,True,VAR,1,600000.0,0.0,87.87,739.0,474.0
